NOBILIS,NOMBRE,SEXO*,NIVEL,EMERITO,INSTITUCIÓN DE ADSCRIPCIÓN,DEPENDENCIA,ESTADO,,,,,,,,,,,
DRA.,"VILLARREAL ORTEGA,MARIA LUISA TERESA",M,3,,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,CENTRO DE INVESTIGACION EN BIOTECNOLOGIA,MORELOS,,,,,,,,,,,
DR.,"RAGA RASMUSSEN,ALEJANDRO CRISTIAN",H,3,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE CIENCIAS NUCLEARES,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"VARGAS GARCIA,JORGE ROBERTO",H,2,,INSTITUTO POLITECNICO NACIONAL,ESCUELA SUPERIOR DE ING. QUIMICA E INDUSTRIAS EXTRACTIVAS,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"PALACIOS BEAS,ELIA GUADALUPE",M,1,,INSTITUTO POLITECNICO NACIONAL,ESCUELA SUPERIOR DE ING. QUIMICA E INDUSTRIAS EXTRACTIVAS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"RODRIGUEZ ACHACH,MANUEL ENRIQUE",H,1,,UNIVERSIDAD VERACRUZANA,CAMPUS XALAPA,VERACRUZ,,,,,,,,,,,
DR.,"ZAITSEV,OLEG",H,1,,INSTITUTO POLITECNICO NACIONAL,CENTRO INTERDISCIPLINARIO DE CIENCIAS MARINAS,BAJA CALIFORNIA SUR,,,,,,,,,,,
DR.,"ROBLES PEREZ,MIGUEL",H,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,CENTRO DE INVESTIGACION EN ENERGIA,MORELOS,,,,,,,,,,,
DR.,"PECINA QUINTERO,VICTOR",H,2,,INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES Y AGROPECUARIAS,CIR DEL CENTRO (GTO.),GUANAJUATO,,,,,,,,,,,
DR.,"VAZQUEZ Y MONTIEL,SERGIO",H,1,,UNIVERSIDAD POLITECNICA DE TULANCINGO,UNIVERSIDAD POLITECNICA DE TULANCINGO,HIDALGO,,,,,,,,,,,
DR.,"CHAVEZ CERDA,SABINO",H,3,,INSTITUTO NACIONAL DE ASTROFISICA OPTICA Y ELECTRONICA,AREA DE OPTICA,PUEBLA,,,,,,,,,,,
DR.,"PITERS ,THOMAS MARIA",H,2,,UNIVERSIDAD DE SONORA,UNIDAD REGIONAL CENTRO (HERMOSILLO),SONORA,,,,,,,,,,,
DR.,"NELLEN FILLA,LUKAS",H,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE CIENCIAS NUCLEARES,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"RUIZ VEGA,DANIEL",H,2,,INSTITUTO POLITECNICO NACIONAL,ESCUELA SUPERIOR DE INGENIERIA MECANICA Y ELECTRICA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"VAZQUEZ MORENO,FLAVIO SALVADOR",H,2,,INSTITUTO MEXICANO DEL PETROLEO,DIRECCION DE INVESTIGACION Y POSGRADO,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"ORDUÐA BUSTAMANTE,FELIPE",H,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,CENTRO DE CIENCIAS APLICADAS Y DESARROLLO TECNOLOGICO,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"PALMAS VELASCO,OSCAR ALFREDO",H,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE CIENCIAS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"NUÐO DE LA PARRA,JOSE PABLO",H,1,,UNIVERSIDAD POPULAR AUTONOMA DEL ESTADO DE PUEBLA,UNIVERSIDAD POPULAR AUTONOMA DEL ESTADO DE PUEBLA,PUEBLA,,,,,,,,,,,
DRA.,"RODRIGUES,ELIANE REGINA",M,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE MATEMATICAS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"SANDOVAL CASTRO,CARLOS ALFREDO",H,2,,UNIVERSIDAD AUTONOMA DE YUCATAN,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,YUCATAN,,,,,,,,,,,
DRA.,"STROJNIK POGACAR,MARIJA",M,3,,"CENTRO DE INVESTIGACIONES EN OPTICA, A.C.",AREA DE INGENIERIA OPTICA,GUANAJUATO,,,,,,,,,,,
DR.,"VAKHANIA .,NODARI",H,2,,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,FACULTAD DE CIENCIAS,MORELOS,,,,,,,,,,,
DR.,"REYES RUIZ,MAURICIO",H,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE ASTRONOMIA,BAJA CALIFORNIA,,,,,,,,,,,
DRA.,"SHEINBAUM PARDO,CLAUDIA",M,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INGENIERIA,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"RAMOS VALDIVIA,ANA CARMELA",M,2,,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,DEPTO. DE BIOTECNOLOGIA Y BIOINGENIERIA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"VAN HOREBEEK,JOHAN JOZEF LODE",H,2,,"CENTRO DE INVESTIGACION EN MATEMATICAS, A.C.",AREA CIENCIAS DE LA COMPUTACION,GUANAJUATO,,,,,,,,,,,
DR.,"ALVARADO ESQUIVEL,COSME",H,3,,UNIVERSIDAD JUAREZ DEL ESTADO DE DURANGO,CAMPUS DURANGO,DURANGO,,,,,,,,,,,
DRA.,"FOMINA,LIOUDMILA",M,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES EN MATERIALES,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"CARRILLO C?ZARES,ALBERTO",H,3,,"EL COLEGIO DE MICHOACAN, A.C.",CENTRO DE ESTUDIOS DE LAS TRADICIONES,MICHOACAN,,,,,,,,,,,
DR.,"GUTIERREZ RODRIGUEZ,ALEJANDRO BIRGILIO",H,2,,UNIVERSIDAD AUTONOMA DE ZACATECAS,UNIDAD ACADEMICA DE FISICA,ZACATECAS,,,,,,,,,,,
DR.,"MANUCHARYAN,KAREN",H,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES BIOMEDICAS,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"GEVORGYAN MARKOSYAN,GOHAR",M,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES BIOMEDICAS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"ROJAS RODRIGUEZ,JOSE FERNANDO",H,1,,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,FACULTAD DE CIENCIAS FISICO-MATEMATICAS,PUEBLA,,,,,,,,,,,
DR.,"MADRIGAL MELCHOR,JESUS",H,1,,UNIVERSIDAD AUTONOMA DE ZACATECAS,UNIDAD ACADEMICA DE FISICA,ZACATECAS,,,,,,,,,,,
DR.,"GARCIA BARRERA,PEDRO",H,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE CIENCIAS,DISTRITO FEDERAL,,,,,,,,,,,
ING.,"GOVEZENSKY ZACK,TZIPE SILVIA",M,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES BIOMEDICAS,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"BRENA SESMA,INGRID LILIAN",M,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES JURIDICAS,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"BRAVO,GUADALUPE",M,1,,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,DEPTO. DE FARMACOLOGIA Y TOXICOLOGIA,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"TERAN ELIZONDO,MARIA ISABEL",M,2,,UNIVERSIDAD AUTONOMA DE ZACATECAS,AREA ACADEMICA DE EDUCACION Y HUMANIDADES,ZACATECAS,,,,,,,,,,,
DRA.,"DIAZ OLAVARRIETA,CLAUDIA AMELIA",M,2,,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA,DIVISION DE INVESTIGACION,DISTRITO FEDERAL,,,,,,,,,,,
M. EN C.,"GONZALEZ MACIEL,ANGELICA",M,1,,INSTITUTO NACIONAL DE PEDIATRIA,SUBDIRECCION DE MEDICINA EXPERIMENTAL,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"GUILLAUMIN JUAREZ,GODFREY ERNESTO",H,2,,UNIVERSIDAD AUTONOMA METROPOLITANA,UNIDAD IZTAPALAPA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"ARENAS ROSALES,RENE",H,1,,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,FACULTAD DE CIENCIAS POLITICAS Y ADMINISTRACION PUBLICA,"M?XICO, EDO. DE",,,,,,,,,,,
DRA.,"ANGUIANO SERRANO,ROCIO BRENDA",M,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE NEUROBIOLOGIA,QUERETARO,,,,,,,,,,,
DR.,"LOPEZ AYLLON,SERGIO",H,3,,"CENTRO DE INVESTIGACION Y DOCENCIA ECONOMICAS, A.C.",DIVISION DE ESTUDIOS JURIDICOS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"GONZALEZ ASTORGA,JORGE ARTURO",H,2,,"INSTITUTO DE ECOLOGIA, A.C.",RED DE BIOLOGIA EVOLUTIVA,VERACRUZ,,,,,,,,,,,
DR.,"CHOUMILINE,EVGUENI",H,3,,INSTITUTO POLITECNICO NACIONAL,CENTRO INTERDISCIPLINARIO DE CIENCIAS MARINAS,BAJA CALIFORNIA SUR,,,,,,,,,,,
DR.,"CORREA SANDOVAL,ALFONSO",H,1,,INSTITUTO TECNOLOGICO DE CIUDAD VICTORIA,INSTITUTO TECNOLOGICO DE CIUDAD VICTORIA,TAMAULIPAS,,,,,,,,,,,
DR.,"AGUILAR RIVERA,JOSE ANTONIO",H,2,,"CENTRO DE INVESTIGACION Y DOCENCIA ECONOMICAS, A.C.",DEPTO. DE ESTUDIOS POLITICOS,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"IBARRA GONZALEZ,ANA CAROLINA",M,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES HISTORICAS,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"HERNANDEZ RODRIGUEZ,MONICA",M,2,,"CENTRO DE INVESTIGACION CIENTIFICA Y DE EDUCACION SUPERIOR DE ENSENADA, B.C.",DIVISION DE OCEANOLOGIA,BAJA CALIFORNIA,,,,,,,,,,,
DR.,"PALOMAR PARDAVE,MANUEL EDUARDO",H,3,,UNIVERSIDAD AUTONOMA METROPOLITANA,UNIDAD AZCAPOTZALCO,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"GONZALEZ AKTORIES,NORMA SUSANA",M,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE FILOSOFIA Y LETRAS,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"ANTARAMIAN SALAS,ANAID",M,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE NEUROBIOLOGIA,QUERETARO,,,,,,,,,,,
DR.,"DOLORES FLORES,CRISOLOGO",H,1,,UNIVERSIDAD AUTONOMA DE GUERRERO,ZONA CENTRO,GUERRERO,,,,,,,,,,,
DRA.,"GARCIA GUZMAN,MARIA GRACIELA",M,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE ECOLOGIA,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"BENITEZ MALVIDO,JULIETA",M,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,CENTRO DE INVESTIGACIONES EN ECOSISTEMAS,MICHOACAN,,,,,,,,,,,
DRA.,"VEGA LOYO,LIBIA",M,2,,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,DEPTO. DE TOXICOLOGIA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"JAVE SUAREZ,LUIS FELIPE",H,2,,INSTITUTO MEXICANO DEL SEGURO SOCIAL,CENTRO MEDICO NACIONAL DE OCCIDENTE,JALISCO,,,,,,,,,,,
DR.,"LEGARIA SOLANO,JUAN PORFIRIO",H,1,,UNIVERSIDAD AUTONOMA CHAPINGO,DEPTO. DE FITOTECNIA,"M?XICO, EDO. DE",,,,,,,,,,,
DR.,"CAMPOS GARCIA,JESUS",H,2,,UNIVERSIDAD MICHOACANA DE SAN NICOLAS DE HIDALGO,INSTITUTO DE INVESTIGACIONES QUIMICO BIOLOGICAS,MICHOACAN,,,,,,,,,,,
DR.,"GUTIERREZ OSPINA,GABRIEL",H,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES BIOMEDICAS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"LOPEZ JIMENEZ,JORGE ALBINO",H,1,,UNIVERSIDAD DE GUANAJUATO,CAMPUS GUANAJUATO,GUANAJUATO,,,,,,,,,,,
DRA.,"HERNANDEZ ECHEAGARAY,ALICIA ELIZABETH",M,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE ESTUDIOS SUPERIORES IZTACALA,"M?XICO, EDO. DE",,,,,,,,,,,
DRA.,"LOPEZ VELASCO,ROCIO",M,1,,UNIVERSIDAD AUTONOMA DE GUERRERO,ZONA SUR,GUERRERO,,,,,,,,,,,
DRA.,"GONZALEZ ESQUIVEL,DINORA FABIOLA",M,1,,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA,DIVISION DE INVESTIGACION,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"CALDERON CHELIUS,LETICIA",M,2,,INSTITUTO DE INVESTIGACIONES DR. JOSE MARIA LUIS MORA,COORDINACION DE INVESTIGACION,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"IBARRA ARIAS,JOSE JUAN ANTONIO",H,2,,UNIVERSIDAD ANAHUAC DEL NORTE,ESCUELA DE MEDICINA,"M?XICO, EDO. DE",,,,,,,,,,,
DRA.,"GARCIA CAMACHO,MARTHA PATRICIA",M,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE QUIMICA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"CUEVAS VALLEJO,CARLOS ARMANDO",H,1,,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,DEPTO. DE MATEMATICA EDUCATIVA,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"ACUÐA MORALES,LAURA DE LOS ANGELES",M,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE PSICOLOGIA,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"CARRASCO ALTAMIRANO,ALMA CECILIA",M,1,,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,FACULTAD DE ADMINISTRACION,PUEBLA,,,,,,,,,,,
DRA.,"CASTRO GONZALEZ,MARIA ISABEL DE LOS DOLORE",M,2,,INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN,DIVISION DE NUTRICION EXPERIMENTAL DE CIENCIA DE LOS ALIM.,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"BARILE FABRIS,LEONOR ADRIANA",M,1,,INSTITUTO MEXICANO DEL SEGURO SOCIAL,HOSPITAL DE ESPECIALIDADES CENTRO MEDICO NQCIONAL SIGLO XXI,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"MOCTEZUMA ZAMARRON,JOSE LUIS",H,1,,INSTITUTO NACIONAL DE ANTROPOLOGIA E HISTORIA,CENTRO REGIONAL SONORA,SONORA,,,,,,,,,,,
DR.,"LOPEZ DIAZ,TOMAS DAVID",H,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE BIOTECNOLOGIA,MORELOS,,,,,,,,,,,
DRA.,"AMPUDIA M?RQUEZ,NORA CLAUDIA",M,2,,UNIVERSIDAD PANAMERICANA,CAMPUS GUADALAJARA,JALISCO,,,,,,,,,,,
DR.,"CAMACHO RIOS,ALBERTO",H,1,,INSTITUTO TECNOLOGICO DE CHIHUAHUA II,INSTITUTO TECNOLOGICO DE CHIHUAHUA II,CHIHUAHUA,,,,,,,,,,,
DR.,"KORNHAUSER ARAUJO,CARLOS",H,1,,UNIVERSIDAD DE GUANAJUATO,CAMPUS LEON,GUANAJUATO,,,,,,,,,,,
DR.,"GRANADOS CORREA,FRANCISCO",H,1,,INSTITUTO NACIONAL DE INVESTIGACIONES NUCLEARES,CENTRO NUCLEAR,"M?XICO, EDO. DE",,,,,,,,,,,
DR.,"GUIZAR MENDOZA,JUAN MANUEL",H,2,,"UNIVERSIDAD DE LA SALLE BAJIO, A.C.","UNIVERSIDAD DE LA SALLE BAJIO, A.C.",GUANAJUATO,,,,,,,,,,,
DRA.,"MARTINEZ VAZQUEZ,MARTHA GRISELDA",M,1,,UNIVERSIDAD AUTONOMA METROPOLITANA,UNIDAD XOCHIMILCO,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"CARDOSO SALDAÐA,GUILLERMO CELESTINO",H,1,,INSTITUTO NACIONAL DE CARDIOLOGIA DR. IGNACIO CHAVEZ,DIRECCION DE INVESTIGACION,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"AVILA CASADO,MARIA DEL CARMEN",M,1,,NO ESPECIFICADO,NO ESPECIFICADO,NO DISPONIBLE,,,,,,,,,,,
DR.,"FERNANDEZ DE CASTRO MEDINA,RAFAEL",H,1,,INSTITUTO TECNOLOGICO AUTONOMO DE MEXICO,DIVISION DE ESTUDIOS GENERALES E INTERNACIONALES,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"LACHAUD,JEAN-PAUL DANIEL ANGE",H,2,,EL COLEGIO DE LA FRONTERA SUR,UNIDAD CHETUMAL,QUINTANA ROO,,,,,,,,,,,
DRA.,"LINDON VILLORIA,ALICIA MARTA",M,3,,UNIVERSIDAD AUTONOMA METROPOLITANA,UNIDAD IZTAPALAPA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"GALINDO GONZ?LEZ,JORGE RODRIGO",H,1,,UNIVERSIDAD VERACRUZANA,CAMPUS XALAPA,VERACRUZ,,,,,,,,,,,
DR.,"FIGUERA VILLANUEVA,LUIS EDUARDO",H,3,,INSTITUTO MEXICANO DEL SEGURO SOCIAL,CENTRO DE INVESTIGACION BIOMEDICA DE OCCIDENTE,JALISCO,,,,,,,,,,,
DR.,"GALINDO MALDONADO,FRANCISCO AURELIO",H,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"GAITAN CEPEDA,LUIS ALBERTO",H,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE ODONTOLOGIA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"HERNANDEZ LAMONEDA,RAMON",H,2,,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,CENTRO DE INVESTIGACIONES QUIMICAS,MORELOS,,,,,,,,,,,
DRA.,"GUTIERREZ-CIRLOS MADRID,EMMA BERTA",M,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE ESTUDIOS SUPERIORES IZTACALA,"M?XICO, EDO. DE",,,,,,,,,,,
DRA.,"CASTRO RAMIREZ,MARIA EUGENIA DEL CARMEN",M,1,,UNIVERSIDAD AUTONOMA METROPOLITANA,UNIDAD XOCHIMILCO,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"ALFARO LOPEZ,HECTOR GUILLERMO",H,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES BIBLIOTECOLOGICAS Y DE LA INFORMACION,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"LOPEZ MACIAS,CONSTANTINO III ROBERTO",H,2,,INSTITUTO MEXICANO DEL SEGURO SOCIAL,HOSPITAL DE ESPECIALIDADES CENTRO MEDICO NQCIONAL SIGLO XXI,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"MENDEZ REYES,SALVADOR",H,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,CENTRO DE INVESTIGACIONES SOBRE AMERICA LATINA Y EL CARIBE,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"HERNANDEZ VAZQUEZ,OSCAR HERNANDO",H,1,,UNIVERSIDAD AUTONOMA DE CAMPECHE,CENTRO DE INVESTIGACIONES BIOMEDICAS,CAMPECHE,,,,,,,,,,,
DRA.,"CONTRERAS ZENTELLA,MARTHA LUCINDA",M,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE FISIOLOGIA CELULAR,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"GALVAN ARZATE,SONIA",M,1,,INSTITUTO NACIONAL DE NEUROLOGIA Y NEUROCIRUGIA,UNIDAD DE INVESTGACION DEL SISTEMA NERVIOSO,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"JUAREZ POSADAS,JORGE RIGOBERTO",H,1,,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,INSTITUTO DE CIENCIAS,PUEBLA,,,,,,,,,,,
DR.,"GRANADOS BARBA,ALEJANDRO",H,2,,UNIVERSIDAD VERACRUZANA,CAMPUS VERACRUZ,VERACRUZ,,,,,,,,,,,
DR.,"HERNANDEZ MARTINEZ,JAVIER",H,2,,UNIVERSIDAD VERACRUZANA,CAMPUS XALAPA,VERACRUZ,,,,,,,,,,,
DR.,"CALIXTO FLORES,RAUL",H,2,,UNIVERSIDAD PEDAGOGICA NACIONAL,UNIDAD AJUSCO,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"ISLAS FLORES,IGNACIO RODRIGO",H,1,,"CENTRO DE INVESTIGACION CIENTIFICA DE YUCATAN, A.C.",UNIDAD DE BIOQUIMICA Y BIOLOGIA MOLECULAR DE PLANTAS,YUCATAN,,,,,,,,,,,
DRA.,"GOMEZ GARCIA,MARIA DEL CONSUELO",M,2,,INSTITUTO POLITECNICO NACIONAL,ESCUELA NACIONAL DE MEDICINA Y HOMEOPATIA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"LEDESMA MATEOS,ISMAEL",H,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE ESTUDIOS SUPERIORES IZTACALA,"M?XICO, EDO. DE",,,,,,,,,,,
DRA.,"MARTINEZ PELLEGRINI,SARAH EVA",M,2,,"EL COLEGIO DE LA FRONTERA NORTE, A.C.",CENTRO DE ESTUDIOS FRONTERIZOS DEL NORTE DE MEXICO-TIJUANA,BAJA CALIFORNIA,,,,,,,,,,,
DR.,"LOPEZ Y MOTA,ANGEL DANIEL",H,1,,UNIVERSIDAD PEDAGOGICA NACIONAL,AREA DE INVESTIGACION,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"JIMENEZ VAZQUEZ,HUGO ALEJANDRO",H,2,,INSTITUTO POLITECNICO NACIONAL,ESCUELA NACIONAL DE CIENCIAS BIOLOGICAS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"CONTRERAS TOLEDO,VICTOR MANUEL",H,1,,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,FACULTAD DE FILOSOFIA Y LETRAS,PUEBLA,,,,,,,,,,,
MED.,"BORBOLLA ESCOBOZA,JOSE RAFAEL",H,1,,"BOEHRINGER INGELHEIM VETMEDICA, S.A. DE C.V.","BOEHRINGER INGELHEIM VETMEDICA, S.A. DE C.V.",JALISCO,,,,,,,,,,,
DR.,"FERNANDEZ LINARES,LUIS CARLOS",H,1,,INSTITUTO POLITECNICO NACIONAL,UNIDAD PROFESIONAL INTERDISCIPLINARIAS DE BIOTECNOLOGIA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"AGUIRRE GUZMAN,GABRIEL",H,1,,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,UAT CIUDAD VICTORIA,TAMAULIPAS,,,,,,,,,,,
DRA.,"FLORES CERVANTES,LUCILA MARCELA",M,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES FILOLOGICAS,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"MEANEY MENDIOLEA,EDUARDO",H,1,,INSTITUTO POLITECNICO NACIONAL,ESCUELA SUPERIOR DE MEDICINA,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"ALCAZAR BRAVO,JORGE ALBERTO",H,1,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FACULTAD DE FILOSOFIA Y LETRAS,DISTRITO FEDERAL,,,,,,,,,,,
DRA.,"DAVILA MARTINEZ,ANABELLA DEL ROSARIO",M,2,,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,CAMPUS MONTERREY,NUEVO LEON,,,,,,,,,,,
DR.,"CALDERON VILLARREAL,CUAUHTEMOC",H,3,,"EL COLEGIO DE LA FRONTERA NORTE, A.C.",DIRECCION GENERAL ACADEMICA,BAJA CALIFORNIA,,,,,,,,,,,
DRA.,"GREATHOUSE AMADOR,LOUISE MARY",M,1,,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,INSTITUTO DE CIENCIAS SOCIALES Y HUMANIDADES,PUEBLA,,,,,,,,,,,
DR.,"VACA DOMINGUEZ,LUIS ALFONSO",H,3,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE FISIOLOGIA CELULAR,DISTRITO FEDERAL,,,,,,,,,,,
DR.,"DE ANDA SANCHEZ,JOSE",H,1,,CENTRO DE INVESTIGACION Y ASISTENCIA EN TECNOLOGIA Y DISEÐO DEL EDO. DE JALISCO,DIVISION DE PATOLOGIA Y BIOTECNOLOGIA AMBIENTAL,JALISCO,,,,,,,,,,,
DR.,"ALAVEZ ESPIDIO,SILVESTRE DE JESUS",H,2,,UNIVERSIDAD AUTONOMA METROPOLITANA,UNIDAD LERMA,"M?XICO, EDO. DE",,,,,,,,,,,
DRA.,"IRACHETA CARDENAS,MARIA MAGDALENA",M,1,,UNIVERSIDAD AUTONOMA DE NUEVO LEON,FACULTAD DE CIENCIAS BIOLOGICAS,NUEVO LEON,,,,,,,,,,,
DR.,"GONZALEZ ROJAS,JOSE IGNACIO",H,1,,UNIVERSIDAD AUTONOMA DE NUEVO LEON,FACULTAD DE CIENCIAS BIOLOGICAS,NUEVO LEON,,,,,,,,,,,
DRA.,"FALCK REYES,MELBA EUGENIA MARITZA",M,2,,UNIVERSIDAD DE GUADALAJARA,CENTRO UNIVERSITARIO DE CIENCIAS SOCIALES Y HUMANIDADES,JALISCO,,,,,,,,,,,
DRA.,"DUMAS,SYLVIE",M,2,,INSTITUTO POLITECNICO NACIONAL,CENTRO INTERDISCIPLINARIO DE CIENCIAS MARINAS,BAJA CALIFORNIA SUR,,,,,,,,,,,
DRA.,"RUIZ FERNANDEZ,ANA CAROLINA",M,2,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE CIENCIAS DEL MAR Y LIMNOLOGIA,SINALOA,,,,,,,,,,,
